id,site_eui
75757,271.0994
75758,244.26558
75759,153.17365
75760,248.32063
75761,234.7304
75762,265.11383
75763,243.26549
75764,255.77061
75765,167.50107
75766,323.46432
75767,182.2374
75768,158.21866
75769,295.94333
75770,185.86299
75771,185.5959
75772,204.05309
75773,226.59909
75774,190.51878
75775,262.49176
75776,241.63843
75777,234.55855
75778,217.91826
75779,271.81378
75780,266.72757
75781,266.57397
75782,219.4153
75783,274.5934
75784,128.2162
75785,212.74434
75786,279.2688
75787,241.4721
75788,258.06802
75789,274.0625
75790,352.7841
75791,214.5761
75792,241.14923
75793,223.15802
75794,266.61203
75795,228.96964
75796,261.2388
75797,264.38297
75798,283.20773
75799,266.7066
75800,260.56982
75801,233.6797
75802,255.00832
75803,225.29514
75804,255.92307
75805,375.52954
75806,240.80295
75807,134.10867
75808,187.56519
75809,190.46562
75810,157.62051
75811,239.26138
75812,93.98733
75813,291.6067
75814,271.948
75815,209.88403
75816,324.8188
75817,145.41144
75818,226.40572
75819,274.43726
75820,268.40778
75821,223.97514
75822,187.24855
75823,213.24925
75824,88.58529
75825,230.3602
75826,375.83527
75827,39.33297
75828,37.634148
75829,42.628555
75830,44.85466
75831,73.51119
75832,91.16574
75833,102.05287
75834,103.34952
75835,114.7206
75836,61.58317
75837,49.492523
75838,41.139465
75839,52.170303
75840,73.53342
75841,281.4146
75842,142.32349
75843,49.083786
75844,65.35375
75845,105.09464
75846,63.14921
75847,67.45345
75848,57.4151
75849,51.323612
75850,157.4565
75851,57.29334
75852,68.01413
75853,85.313835
75854,208.81187
75855,41.54967
75856,54.96467
75857,60.709164
75858,64.16058
75859,70.88289
75860,70.88289
75861,62.06698
75862,18.988419
75863,24.147146
75864,16.555992
75865,30.23403
75866,27.828493
75867,21.658443
75868,21.30001
75869,15.276806
75870,62.098347
75871,35.457653
75872,58.629837
75873,84.16027
75874,68.03145
75875,87.30108
75876,60.300014
75877,56.377804
75878,59.067577
75879,81.552986
75880,69.852036
75881,73.70746
75882,73.24318
75883,122.539345
75884,74.94072
75885,112.2977
75886,6.520691
75887,16.809069
75888,63.912807
75889,6.585595
75890,50.296207
75891,56.488377
75892,26.77084
75893,30.441769
75894,23.603539
75895,61.975735
75896,59.263363
75897,52.651714
75898,55.81951
75899,41.2452
75900,35.916916
75901,37.69617
75902,44.50237
75903,39.994507
75904,47.604305
75905,61.92578
75906,106.44755
75907,46.819443
75908,106.336174
75909,107.086914
75910,59.28667
75911,35.43181
75912,45.11447
75913,22.936893
75914,37.95351
75915,35.81866
75916,34.03107
75917,33.357243
75918,42.754242
75919,50.37586
75920,45.75855
75921,38.1777
75922,48.584442
75923,44.41827
75924,40.912357
75925,43.890705
75926,102.968376
75927,114.35777
75928,119.38095
75929,56.52872
75930,129.38164
75931,89.27596
75932,39.37402
75933,40.022675
75934,41.025684
75935,61.79556
75936,121.7507
75937,93.145676
75938,123.006424
75939,71.67582
75940,65.59121
75941,124.574776
75942,106.68529
75943,158.51355
75944,98.862076
75945,184.33981
75946,99.642136
75947,93.23186
75948,111.68689
75949,76.57638
75950,276.00003
75951,246.90274
75952,121.44932
75953,160.45148
75954,108.96644
75955,102.60209
75956,54.55107
75957,63.366127
75958,55.14134
75959,158.94066
75960,55.865963
75961,101.590836
75962,130.42642
75963,74.18225
75964,49.61458
75965,68.8718
75966,87.527405
75967,214.83044
75968,81.734634
75969,75.5679
75970,87.02152
75971,46.056667
75972,158.36514
75973,78.35989
75974,64.55885
75975,70.78959
75976,107.66458
75977,45.449642
75978,18.7058
75979,22.133984
75980,11.780085
75981,15.527248
75982,8.272247
75983,31.581465
75984,42.946587
75985,27.684973
75986,40.278744
75987,9.309497
75988,31.434671
75989,32.46141
75990,16.04885
75991,87.231316
75992,40.755505
75993,60.5181
75994,47.145294
75995,98.38668
75996,67.890686
75997,45.519836
75998,21.75856
75999,25.665916
76000,26.662155
76001,31.95593
76002,207.01253
76003,28.120451
76004,30.733318
76005,49.7063
76006,38.88771
76007,27.169573
76008,40.3239
76009,24.983528
76010,91.50904
76011,30.559841
76012,28.563282
76013,33.588684
76014,28.833626
76015,56.42212
76016,14.386937
76017,35.671646
76018,29.559008
76019,25.111921
76020,35.275223
76021,26.360472
76022,37.95985
76023,3.8826964
76024,67.31895
76025,36.05702
76026,38.416508
76027,26.089224
76028,57.308384
76029,93.91977
76030,52.899426
76031,9.930569
76032,10.87129
76033,11.163244
76034,10.254664
76035,3.7122247
76036,18.263988
76037,3.7357697
76038,6.1739826
76039,6.334161
76040,40.607574
76041,15.419835
76042,12.9717865
76043,9.362402
76044,15.113478
76045,15.698842
76046,22.766548
76047,28.968363
76048,24.847881
76049,22.670685
76050,14.166593
76051,23.227375
76052,14.552335
76053,24.996264
76054,18.138174
76055,38.992477
76056,13.294386
76057,40.1745
76058,29.720335
76059,17.43888
76060,26.9923
76061,16.828205
76062,38.758877
76063,17.071196
76064,10.985122
76065,23.21774
76066,33.066837
76067,16.09246
76068,111.13526
76069,32.15843
76070,38.54245
76071,16.311438
76072,73.2535
76073,25.419779
