id,site_eui
75757,235.92847
75758,236.54376
75759,177.0924
75760,242.2259
75761,218.64194
75762,252.85068
75763,270.01602
75764,233.0872
75765,161.23146
75766,278.46875
75767,235.27148
75768,177.32721
75769,442.426
75770,208.88034
75771,218.18307
75772,218.57678
75773,231.54227
75774,216.89438
75775,220.3059
75776,192.35202
75777,242.96054
75778,253.58913
75779,231.84377
75780,235.5948
75781,205.34319
75782,189.50308
75783,226.58707
75784,140.94354
75785,183.20169
75786,238.92757
75787,209.77527
75788,282.62704
75789,204.64662
75790,272.07455
75791,201.52936
75792,227.9508
75793,212.6823
75794,215.49657
75795,226.0728
75796,228.27553
75797,286.63223
75798,319.21622
75799,262.80338
75800,260.91013
75801,261.95782
75802,263.53864
75803,230.04672
75804,249.39464
75805,287.60776
75806,252.36023
75807,140.18097
75808,209.23398
75809,137.59052
75810,155.50482
75811,234.26845
75812,96.90542
75813,274.52515
75814,290.15457
75815,196.33014
75816,317.57565
75817,173.81122
75818,239.8964
75819,290.27625
75820,283.26215
75821,217.836
75822,183.96825
75823,196.66493
75824,87.07211
75825,232.32428
75826,362.80737
75827,41.539364
75828,38.986076
75829,46.54206
75830,49.858536
75831,104.95609
75832,139.99078
75833,96.02718
75834,100.48468
75835,119.69424
75836,62.320652
75837,46.934784
75838,41.709267
75839,44.328663
75840,81.41434
75841,324.7196
75842,181.80328
75843,40.128178
75844,68.6433
75845,154.03
75846,62.387203
75847,69.85559
75848,47.49495
75849,52.538483
75850,168.93048
75851,64.107765
75852,72.45334
75853,86.12713
75854,181.72551
75855,41.78645
75856,57.205704
75857,52.602036
75858,64.75243
75859,71.26407
75860,70.094666
75861,118.77137
75862,15.227657
75863,27.861568
75864,16.129995
75865,26.193344
75866,26.757969
75867,18.239492
75868,19.082693
75869,14.615804
75870,65.62952
75871,47.07809
75872,78.41182
75873,78.98739
75874,54.871323
75875,79.999435
75876,56.716526
75877,49.87809
75878,76.400215
75879,104.41632
75880,73.66035
75881,70.65678
75882,65.27076
75883,121.56638
75884,72.21869
75885,96.643265
75886,6.501632
75887,17.718464
75888,60.19688
75889,8.392568
75890,51.366997
75891,62.81425
75892,25.874231
75893,20.750057
75894,25.363556
75895,66.83013
75896,61.843132
75897,34.335564
75898,48.33055
75899,36.85995
75900,43.492912
75901,28.60365
75902,36.064075
75903,39.027233
75904,39.1079
75905,55.86844
75906,22.318575
75907,58.65598
75908,24.194027
75909,23.24208
75910,58.152176
75911,22.220919
75912,36.58806
75913,23.571022
75914,40.727856
75915,29.737858
75916,31.266027
75917,35.176273
75918,38.8903
75919,52.906525
75920,37.703907
75921,45.642223
75922,52.759605
75923,44.68405
75924,30.889458
75925,50.28385
75926,101.13748
75927,118.56405
75928,103.57692
75929,57.302277
75930,137.80011
75931,83.69819
75932,50.438187
